YCU,Guangong Airport,Yuncheng,CN
DYG,Hehua Airport,Zhangjiajie,CN
ZHA,Zhanjiang Airport,Zhanjiang,CN
CGO,Xinzheng Intl Airport,Zhengzhou,CN
HSN,Putuoshan Airport,Zhoushan,CN
ZUH,Sanzao Intl Airport,Zhuhai,CN
ZYI,Xinzhou Airport,Zunyi,CN
AXM,El Eden Intl Airport,Armenia,CO
EJA,Yariguies Airport,Barrancabermeja,CO
BAQ,Ernesto Cortissoz Intl Airport,Barranquilla,CO
BOG,El Dorado Intl Airport,Bogota,CO
BGA,Palonegro Intl Airport,Bucaramanga,CO
CLO,Alfonso B. Aragon Intl Airport,Cali,CO
CTG,Rafael Nunez Intl Airport,Cartagena,CO
CUC,Camilo Daza Airport,Cucuta,CO
FLA,Gustavo A. Paredes Airport,Florencia,CO
IBE,Perales Airport,Ibague,CO
LET,Alfredo V. Cobb Intl Airport,Leticia,CO
MZL,La Nubia Airport,Manizales,CO
MDE,Jose Maria Cordova Intl Airport,Medellin,CO
MTR,Los Garzones Airport,Monteria,CO
NVA,Benito Sala Airport,Neiva,CO
PSO,Antonio Narino Airport,Pasto,CO
PEI,Matecana Intl Airport,Pereira,CO
PPN,Guillermo L. Valencia Airport,Popayan,CO
RCH,Almirante Padilla Airport,Riohacha,CO
ADZ,Gustavo R. Pinilla Int Airport,San Andres Island,CO
SMR,Simon Bolivar Intl Airport,Santa Marta,CO
TCO,La Florida Airport,Tumaco,CO
VUP,Alfonso Lopez Pumarejo Airport,Valledupar,CO
VVC,Vanguardia Airport,Villavicencio,CO
EYP,El Alcaravan Airport,Yopal,CO
BZV,Maya-Maya Airport,Brazzaville,CG
PNR,Pointe-Noire Airport,Pointe-Noire,CG
RAR,Rarotonga Island Airport,Rarotonga Island,CK
DRK,Drake Bay Airport,Drake Bay,CR
FON,Arenal Airport,Fortuna,CR
GLF,Golfito Airport,Golfito,CR
LIR,D. Oduber Quiros Intl Airport,Liberia,CR
LIO,Limon Intl Airport,Limon,CR
PMZ,Palmar Sur Airport,Palmar Sur,CR
PJM,Puerto Jimenez Airport,Puerto Jimenez,CR
XQP,La Managua Airport,Quepos,CR
SJO,Juan Santamaria International Airport,San Jose,CR
TNO,Tamarindo Airport,Tamarindo,CR
TMU,Tambor Airport,Tambor,CR
TTQ,Tortuguero Airport,Tortuguero,CR
ABJ,Felix Houphouet Boigny Airport,Abidjan,CI
BWK,Bol Airport,Brac,HR
DBV,Dubrovnik Airport,Dubrovnik,HR
OSI,Osijek Airport,Osijek,HR
PUY,Pula Airport,Pula,HR
RJK,Rijeka Airport,Rijeka,HR
SPU,Split Airport,Split,HR
ZAD,Zadar Airport,Zadar,HR
ZAG,Pleso Airport,Zagreb,HR
CCC,Jardines del Rey Airport,Cayo Coco,CU
CYO,Vilo Acuna Intl Airport,Cayo Largo del Sur,CU
HAV,Jose Marti International Airport,Havana,CU
HOG,Frank Pais  Intl Airport,Holguin,CU
SNU,Abel Santamaria Airport,Santa Clara,CU
VRA,Juan G. Gomez Intl Airport,Varadero,CU
CUR,Hato Intl Airport,Curacao,CW
ECN,Ercan Airport,Ercan,CY
LCA,Larnaca Airport,Larnaca,CY
PFO,Paphos International Airport,Paphos,CY
PRG,Ruzyne International Airport,Prague,CZ
FIH,N'djili Airport,Kinshasa,CD
FBM,Luano International Airport,Lubumbashi,CD
AAL,Aalborg Airport,Aalborg,DK
AAR,Tirstrup Airport,Aarhus,DK
BLL,Billund Airport,Billund,DK
CPH,Kastrup Airport,Copenhagen,DK
JIB,Ambouli Airport,Djibouti,DJ
POP,Gregorio Luperon Intl Airport,Puerto Plata,DO
PUJ,Punta Cana Intl Airport,Punta Cana,DO
AZS,El Catey Intl Airport,Samana,DO
STI,Cibao Intl Airport,Santiago,DO
SDQ,Las Americas Intl Airport,Santo Domingo,DO
GPS,Seymour Airport,Baltra Island,EC
OCC,Francisco de Orellana Airport,Coca,EC
GYE,Jose Joaquin de Olmedo Airport,Guayaquil,EC
MEC,Eloy Alfaro Intl Airport,Manta,EC
UIO,Mariscal Sucre Intl Airport,Quito,EC
SCY,San Cristobal Airport,San Cristobal Island,EC
ABS,Abu Simbel Airport,Abu Simbel,EG
HBE,Borg el Arab Airport,Alexandria,EG
ASW,Daraw International Airport,Aswan,EG
CAI,Cairo International Airport,Cairo,EG
HRG,Hurghada International Airport,Hurghada,EG
LXR,Luxor International Airport,Luxor,EG
RMF,Marsa Alam International Airport,Marsa Alam,EG
SSH,Sharm el-Sheikh International Airport,Sharm el-Sheikh,EG
HMB,Sohag Intl Airport,Sohag,EG
SAL,El Salvador Intl Airport,San Salvador,SV
SSG,Santa Isabel International,Malabo,GQ
ASM,Asmara International Airport,Asmara,ER
TLL,Lennart Meri Airport,Tallinn,EE
ADD,Bole International Airport,Addis Ababa,ET
AMH,Arba Minch Airport,Arba Minch,ET
ASO,Asosa Airport,Asosa,ET
AXU,Axum Airport,Axum,ET
BJR,Bahar Dar Airport,Bahar Dar,ET
DSE,Kombolcha Airport,Dessie,ET
DIR,Aba Tenna D Yilma Airport,Dire Dawa,ET
GMB,Gambela Airport,Gambela,ET
GDE,Gode Airport,Gode,ET
GDQ,Azezo Airport,Gonder,ET
HUE,Humera Airport,Humera,ET
JIJ,Jigiga Airport,Jijiga,ET
JIM,Aba Segud Airport,Jimma,ET
LLI,Lalibela Airport,Lalibela,ET
MQX,Alula Aba Nega Airport,Mekele,ET
SZE,Semera Airport,Semera,ET
NAN,Nadi International Airport,Nadi,FJ
HEL,Helsinki-Vantaa Airport,Helsinki,FI
KTT,Kittila Airport,Kittila,FI
TMP,Tampere-Pirkkala Airport,Tampere,FI
TKU,Turku Airport,Turku,FI
VAA,Vaasa Airport,Vaasa,FI
AJA,Napoleon Bonaparte Airport,Ajaccio,FR
BIA,Poretta Airport,Bastia,FR
BIQ,Biarritz Parme Airport,Biarritz,FR
BOD,Bordeaux Airport,Bordeaux,FR
CLY,Sainte Catherine Airport,Calvi,FR
DOL,Saint Gatien Airport,Deauville,FR
FSC,Sud Corse Airport,Figari,FR
LDE,Tarbes Ossun Lourdes Airport,Lourdes,FR
LYS,St-Exupery Airport,Lyon,FR
MRS,Marseille Airport,Marseille,FR
ETZ,Lorraine Airport,Metz/Nancy,FR
MPL,Mediterranee Airport,Montpellier,FR
NTE,Nantes Atlantique Airport,Nantes,FR
NCE,Cote D'Azur Airport,Nice,FR
CDG,Charles De Gaulle Airport,Paris-Charles De Gaulle,FR
ORY,Orly Field,Paris-Orly Field,FR
SXB,Entzheim Airport,Strasbourg,FR
TLS,Blagnac Airport,Toulouse,FR
PPT,Faaa Airport,Tahiti,PF
LBV,Leon M'ba International Airport,Libreville,GA
BJL,Banjul International Airport,Banjul,GM
BUS,Batumi Airport,Batumi,GE
TBS,Tbilisi International Airport,Tbilisi,GE
SXF,Schoenefeld Airport,Berlin-Schoenefeld,DE
TXL,Tegel Airport,Berlin-Tegel,DE
BRE,Bremen Airport,Bremen,DE
CGN,Cologne/Bonn Airport,Cologne/Bonn,DE
DRS,Dresden Airport,Dresden,DE
DUS,Duesseldorf International,Duesseldorf,DE
FRA,Frankfurt International Airport,Frankfurt,DE
FDH,Friedrichshafen Airport,Friedrichshafen,DE
HAM,Hamburg Airport,Hamburg,DE
HAJ,Hannover Airport,Hannover,DE
FKB,Baden Airpark,Karlsruhe/Baden-Baden,DE
LEJ,Leipzig/Halle Airport,Leipzig/Halle,DE
FMO,Muenster Airport,Muenster/Osnabrueck,DE
MUC,Munich International,Munich,DE
NUE,Nuremberg Airport,Nuremberg,DE
PAD,Paderborn Airport,Paderborn/Lippstadt,DE
RLG,Laage Airport,Rostock,DE
SCN,Saarbruecken Airport,Saarbruecken,DE
STR,Stuttgart Airport,Stuttgart,DE
GWT,Sylt Airport,Westerland,DE
ACC,Kotoka International Airport,Accra,GH
AXD,Dimokritos Airport,Alexandroupolis,GR
ATH,Eleftherios Venizelos Airport,Athens,GR
CHQ,Ioannis Daskalogiannis Airport,Chania,GR
JKH,Omiros Airport,Chios,GR
IOA,King Pyrros Airport,Ioannina,GR
HER,Nikos Kazantzakis Airport,Irakleion,GR
KLX,Kalamata Airport,Kalamata,GR
AOK,Karpathos Airport,Karpathos,GR
KVA,Megas Alexandros Airport,Kavala,GR
EFL,Kefallinia Airport,Kefallinia,GR
CFU,Ioannis Kapodistrias Airport,Kerkyra,GR
KGS,Ippokratis Airport,Kos,GR
LXS,Limnos Airport,Limnos,GR
JMK,Mykonos Airport,Mykonos,GR
MJT,Odysseas Elytis Airport,Mytilini,GR
GPA,Araxos Airport,Patrai,GR
PVK,Aktion Airport,Preveza/Lefkada,GR
RHO,Diagoras Airport,Rhodes,GR
SMI,Aristarchos of Samos Airport,Samos,GR
JSI,Alex. Papadiamantis Airport,Skiathos,GR
SKU,Skyros Airport,Skyros,GR
SKG,Makedonia Airport,Thessaloniki,GR
JTR,Santorini Airport,Thira,GR
VOL,Nea Anchialos Airport,Volos,GR
ZTH,Dionsios Salomos Airport,Zakinthos Island,GR
GND,Point Saline International Airport,Grenada,GD
PTP,Le Raizet Airport,Pointe A Pitre,GP
GUM,A.B. Won Pat International Airport,Guam,GU
FRS,Mundo Maya Intl Airport,Flores,GT
GUA,La Aurora Intl Airport,Guatemala City,GT
CKY,Conakry International Airport,Conakry,GN
GEO,Cheddi Jagan International Airport,Georgetown,GY
PAP,Toussaint Louverture Airport,Port-au-Prince,HT
RTB,Juan Manuel Galvez Airport,Roatan,HN
SAP,Ramon V. Morales Intl Airport,San Pedro Sula,HN
TGU,Toncontin Intl Airport,Tegucigalpa,HN
HKG,Hong Kong International Airport,Hong Kong,HK
BUD,Liszt Ferenc Int'l Airport,Budapest,HU
KEF,Keflavik International Airport,Reykjavik,IS
IXA,Agartala Airport,Agartala,IN
AGR,Agra Airport,Agra,IN
AMD,S. VallabhBhai Patel Airport,Ahmedabad,IN
AJL,Lenpui Airport,Aizawl,IN
ATQ,Sri Guru Ram Dass Jee Airport,Amritsar,IN
IXU,Aurangabad Airport,Aurangabad,IN
IXB,Bagdogra Airport,Bagdogra,IN
BLR,Kempegowda Intl Airport,Bengaluru,IN
BHO,Raja Bhoj Airport,Bhopal,IN
BBI,Biju Patnaik Airport,Bhubaneshwar,IN
IXC,Chandigarh Airport,Chandigarh,IN
MAA,Chennai International Airport,Chennai,IN
CJB,Peelamedu International Airport,Coimbatore,IN
DEL,Indira Gandhi International Airport,Delhi,IN
DIB,Mohanbari Airport,Dibrugarh,IN
DMU,Dimapur Airport,Dimapur,IN
GAY,Gaya Airport,Gaya,IN
GOI,Dabolim Airport,Goa,IN
GAU,Gopinah Bordoloi Int'l Airport,Guwahati,IN
HYD,Rajiv Gandhi International Airport,Hyderabad,IN
IMF,Imphal Airport,Imphal,IN
IDR,Devi Ahilya Bai Holkar Airport,Indore,IN
JAI,Jaipur International Airport,Jaipur,IN
IXJ,Satwari Airport,Jammu,IN
JGA,Govardhanpur Airport,Jamnagar,IN
JDH,Jodhpur Airport,Jodhpur,IN
HJR,Khajuraho Airport,Khajuraho,IN
COK,Kochi International Airport,Kochi,IN
CCU,Subhas Chandra Bose Airport,Kolkata,IN
CCJ,Kozhikode International Airport,Kozhikode,IN
IXL,Kushok Bakula Rimpoche Airport,Leh,IN
LKO,Chaudhary Charan Singh Airport,Lucknow,IN
IXM,Madurai Airport,Madurai,IN
IXE,Mangalore Airport,Mangalore,IN
BOM,Mumbai Airport,Mumbai,IN
NAG,Dr. Ambedkar Int'l Airport,Nagpur,IN
PAT,Jayaprakash Narayan Airport,Patna,IN
IXZ,Veer Savarkar Int'l Airport,Port Blair,IN
PNQ,Lohegaon Airport,Pune,IN
RPR,Swami Vivekananda Airport,Raipur,IN
RAJ,Rajkot Airport,Rajkot,IN
IXR,Birsa Munda Airport,Ranchi,IN
IXS,Kumbhirgram Airport,Silchar,IN
SXR,Sheikh ul Alam Airport,Srinagar,IN
TRV,Trivandrum International Airport,Thiruvananthapuram,IN
TIR,Tirupati Airport,Tirupati,IN
UDR,Maharana Pratap Airport,Udaipur,IN
BDQ,Vadodara Airport,Vadodara,IN
VNS,Lal Bahadur Shastri Airport,Varanasi,IN
VGA,Vijayawada Airport,Vijayawada,IN
VTZ,Vishakhapatnam Airport,Vishakhapatnam,IN
DPS,Ngurah Rai Airport,Denpasar-Bali,ID
CGK,Soekarno-Hatta International Airport,Jakarta,ID
SUB,Juanda Airport,Surabaya,ID
AWZ,Ahwaz Airport,Ahwaz,IR
IFN,Shahid Beheshti International,Esfahan,IR
KSH,Shahid Ashrafi Esfahani Airport,Kermanshah,IR
MHD,Shahid Hashemi Nejad Airport,Mashhad,IR
SYZ,Shahid Dastghaib International,Shiraz,IR
TBZ,Tabriz International Airport,Tabriz,IR
IKA,Imam Khomeini International Airport,Tehran,IR
NJF,Al-Ashraf International Airport,Al Najaf,IQ
BGW,Baghdad International Airport,Baghdad,IQ
BSR,Basrah International Airport,Basrah,IQ
EBL,Erbil International Airport,Erbil,IQ
ISU,Sulaymaniyah International Airport,Sulaymaniyah,IQ
DUB,Dublin International Airport,Dublin,IE
SNN,Shannon International Airport,Shannon,IE
TLV,Ben Gurion International Airport,Tel Aviv-Yafo,IL
AOI,Falconara Airport,Ancona,IT
BRI,Palese Airport,Bari,IT
BLQ,Guglielmo Marconi Airport,Bologna,IT
BDS,Casale Airport,Brindisi,IT
CAG,Elmas Airport,Cagliari,IT
CTA,Fontanarossa Airport,Catania,IT
FLR,Peretola Airport,Florence,IT
GOA,Cristoforo Colombo Airport,Genoa,IT
SUF,Lamezia Terme Airport,Lamezia Terme,IT
BGY,Bergamo/Orio al Serio Airport,Milan-Bergamo/Orio al Serio,IT
LIN,Linate Airport,Milan-Linate,IT
MXP,Malpensa Airport,Milan-Malpensa,IT
NAP,Capodichino Airport,Naples,IT
OLB,Costa Smeralda Airport,Olbia,IT
PMO,Punta Raisi Airport,Palermo,IT
PEG,St. Francis of Assisi Airport,Perugia,IT
PSA,Galileo Galilei Airport,Pisa,IT
FCO,Fiumicino Airport,Rome,IT
TRS,Ronchi dei Legionari Airport,Trieste,IT
TRN,Caselle Airport,Turin,IT
VCE,Marco Polo Airport,Venice,IT
VRN,Villafranca Airport,Verona,IT
KIN,Norman Manley Intl Airport,Kingston,JM
MBJ,Sangster International Airport,Montego Bay,JM
AXT,Akita Airport,Akita,JP
AOJ,Aomori Airport,Aomori,JP
AKJ,Asahikawa Airport,Asahikawa,JP
FUJ,Goto-Fukue Airport,Fukue,JP
FUK,Fukuoka Airport,Fukuoka,JP
FKS,Fukushima Airport,Fukushima,JP
HAC,Hachijojima Airport,Hachijojima,JP
HKD,Hakodate Airport,Hakodate,JP
HIJ,Hiroshima Airport,Hiroshima,JP
IKI,Iki Airport,Iki,JP
ISG,New Ishigaki Airport,Ishigaki,JP
IWK,Iwakuni Airport,Iwakuni,JP
KOJ,Kagoshima Airport,Kagoshima,JP
KKJ,Kokura Airport,Kitakyushu,JP
KCZ,Kochi Airport,Kochi,JP
KMQ,Komatsu Airport,Komatsu,JP
KMJ,Kumamoto Airport,Kumamoto,JP
KUH,Kushiro Airport,Kushiro,JP
IWJ,Iwami Airport,Masuda,JP
MYJ,Matsuyama Airport,Matsuyama,JP
MMB,Memanbetsu Airport,Memanbetsu,JP
MMY,Hirara Airport,Miyako,JP
KMI,Miyazaki Airport,Miyazaki,JP
MBE,Monbetsu Airport,Monbetsu,JP
NGS,Nagasaki Airport,Nagasaki,JP
NGO,Chubu Centrair International Airport,Nagoya,JP
SHB,Nakashibetsu Airport,Nakashibetsu,JP
